id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
665;6;17;15;16;20;16;17;15;17;18;15;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
666;6;16;15;18;20;17;16;16;16;18;17;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
667;6;17;17;18;20;16;18;16;19;18;16;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
668;6;17;14;15;19;17;18;16;17;18;17;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;5;Buena
669;6;16;13;15;19;16;17;14;15;17;17;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;5;Buena
670;6;17;9;9;17;13;12;11;13;13;12;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;1;Media
671;6;16;14;15;19;16;15;15;16;17;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
672;6;17;14;17;18;18;18;15;17;19;15;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
673;6;17;15;17;19;19;17;18;18;19;17;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
674;6;16;16;17;20;19;17;17;18;19;18;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;4;Buena
675;6;16;15;15;19;18;17;16;16;17;18;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
676;6;16;13;15;19;14;14;13;14;14;15;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
677;6;17;16;18;20;17;16;16;18;18;18;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;5;Buena
